State,County,O3-AQI,CO-AQI,NO2-AQI,SO2-AQI,total
California,Los Angeles,4194094.0,793595.1666666667,3073185.1666666665,106433.0,8167307.333333334
California,San Bernardino,4674053.833333332,197373.5,1438017.5,58665.0,6368109.833333332
Arizona,Maricopa,4152857.7194444607,293328.82500000077,654465.6166666668,50386.83333333336,5151038.994444462
California,Riverside,3681548.166666663,185017.5,906340.5,16212.5,4789118.666666662
Nevada,Clark,2992254.705555557,229032.92380952393,580096.5166666666,22949.0,3824333.1460317476
California,Kern,3050458.0,47915.5,717255.6666666667,1000.0,3816629.166666667
California,San Diego,2344708.749999998,195881.8333333326,1024908.3333333345,61160.5,3626659.416666665
California,Santa Barbara,2660254.333333333,125466.0,530949.0,41089.5,3357758.833333333
Illinois,Cook,1604429.9857142856,201985.0,932185.8333333335,396557.1666666666,3135157.9857142856
California,Fresno,1739422.583333332,131770.41666666674,631786.3333333337,7717.0,2510696.3333333326
Texas,Harris,1534230.43921539,66110.49999999991,715528.9714285725,82257.2333333327,2398127.1439772956
California,Ventura,1936066.0,20853.0,392566.0,6587.0,2356072.0
California,San Luis Obispo,1566749.0,21048.0,327003.0,91998.5,2006798.5
Pennsylvania,Allegheny,788674.0,52842.5,316031.9999999999,838737.6666666677,1996286.1666666677
California,Sacramento,1241120.8833333324,147510.3333333334,500556.33333333256,28817.0,1918004.5499999984
California,Orange,1114660.0,199255.5,574770.0,16173.0,1904858.5
Alabama,Jefferson,1441909.0,135652.66666666683,43961.0,111569.0,1733091.6666666667
Texas,Tarrant,1208689.5,61466.0,454136.0,0.0,1724291.5
California,Contra Costa,898144.0,134255.0,449462.0,208818.0,1690679.0
California,Imperial,1163764.0,109899.5,324154.0,15432.0,1613249.5
Nevada,Washoe,1168981.0333333302,162252.6666666667,161228.0,2586.0,1495047.699999997
Arizona,Pima,1239074.033333334,45504.983333333366,182641.0,17219.5,1484439.5166666673
Arizona,Pinal,1448630.0,0.0,5623.0,7578.0,1461831.0
Florida,Hillsborough,970418.5,85254.0,186279.0,212439.6666666665,1454391.1666666665
Utah,Salt Lake,766708.6666666665,121051.0,413296.16666666657,150703.8333333333,1451759.6666666663
Colorado,Jefferson,1377476.0,23277.0,24442.0,0.0,1425195.0
California,Tulare,1197135.0,20653.0,184524.0,0.0,1402312.0
California,Placer,1214725.5,15508.0,163985.0,0.0,1394218.5
California,Alameda,808670.0,119485.99999999987,446794.0000000003,16416.0,1391366.0000000002
Texas,Jefferson,967160.8333333309,11427.0,231015.0,181103.5,1390706.333333331
Pennsylvania,Washington,675191.0,21293.0,274711.0,380789.0,1351984.0
Missouri,Saint Louis,615851.0,42106.0,421366.0,228959.0,1308282.0
Hawaii,Hawaii,29837.0,0.0,0.0,1274044.0,1303881.0
Virginia,Fairfax,762367.0,100105.0,262450.0,162556.0,1287478.0
Illinois,Madison,1000951.5,3432.0,0.0,247393.0,1251776.5
New Mexico,Bernalillo,953316.7000000002,83024.49999999999,192901.5,3237.0,1232479.7000000002
Country Of Mexico,BAJA CALIFORNIA NORTE,488377.3999999997,221494.8833333336,396693.9999999992,99621.41666666667,1206187.699999999
Ohio,Hamilton,695935.0,57633.5,265502.66666666674,179897.0,1198968.1666666667
Oklahoma,Tulsa,883366.5,44418.5,156085.0,103003.66666666656,1186873.6666666665
California,Santa Clara,896530.0,65233.5,209077.5,4367.0,1175208.0
Connecticut,Fairfield,748228.0,84926.0,159707.0,175581.5,1168442.5
New Mexico,San Juan,726068.8333333317,2460.0,312306.333333333,119056.0,1159891.1666666646
Florida,Pinellas,779833.0,68473.5,113232.5,182764.0,1144303.0
Ohio,Cuyahoga,581574.1666666667,61351.116666666814,225625.5,209910.41666666648,1078461.2
Florida,Broward,659700.0,128395.0,215661.0,33574.0,1037330.0
Arizona,Gila,265907.0,0.0,2759.0,724071.0,992737.0
Michigan,Wayne,394330.5,102621.08333333343,283393.2500000002,182423.98690476193,962768.8202380955
Indiana,Marion,496865.0833333339,124354.66666666673,166153.16666666666,169038.0000000005,956410.9166666677
Pennsylvania,Beaver,458623.0,14098.0,159791.0,309875.0,942387.0
New York,Suffolk,757426.5,12304.0,96923.0,70807.0,937460.5
California,Stanislaus,631525.0,79165.0,213589.0,0.0,924279.0
California,Shasta,920960.0,0.0,0.0,0.0,920960.0
Louisiana,East Baton Rouge,567833.0,39629.0,241576.0,70114.0,919152.0
Ohio,Butler,734244.0,0.0,0.0,181825.5000000007,916069.5000000007
Tennessee,Sullivan,470005.0,43613.0,138236.0,257416.3333333333,909270.3333333333
Indiana,Lake,473519.0,61589.0,181270.0,188117.0,904495.0
Louisiana,Calcasieu,730855.0,0.0,93471.0,74000.0,898326.0
California,Monterey,755231.0,35962.0,97359.0,0.0,888552.0
Utah,Utah,572227.0,72330.0,238891.0,0.0,883448.0
California,Solano,664160.5,54311.0,140605.0,21195.0,880271.5
California,San Joaquin,525576.5,43579.0,295978.0,0.0,865133.5
Delaware,New Castle,387226.74999999936,63118.0,157739.0,250569.0,858652.7499999993
New York,Erie,281301.0,43950.0,319182.0,210507.0,854940.0
Maryland,Prince George's,754457.0,13187.0,60277.0,18731.0,846652.0
Colorado,Denver,355604.6000000001,78244.49999999997,323145.91666666645,88477.5,845472.5166666666
California,El Dorado,772484.1666666667,24398.0,43118.0,0.0,840000.1666666667
Massachusetts,Essex,594888.0,8155.0,209387.5,22112.0,834542.5
West Virginia,Hancock,199174.0,49373.5,0.0,576095.2166666662,824642.7166666662
New Jersey,Camden,506485.0,42866.0,158412.0,94345.0,802108.0
South Carolina,Richland,534366.3333333333,34523.0,124359.0,104873.0,798121.3333333333
Oklahoma,Oklahoma,593835.0,41906.5,144305.3333333333,16172.0,796218.8333333333
Utah,Weber,466353.0,90830.0,233378.0,0.0,790561.0
Maryland,Baltimore,474766.5,36132.0,205602.0,62324.0,778824.5
Connecticut,New Haven,397287.0,38624.0,236482.0,104754.0,777147.0
New Mexico,Dona Ana,625333.5142857137,23244.5,121946.33333333337,6175.0,776699.347619047
Ohio,Lake,410699.0,49957.0,0.0,309369.0,770025.0
Pennsylvania,Northampton,420619.0,20244.0,150382.0,172723.0,763968.0
North Carolina,Mecklenburg,484294.0,47426.166666666664,165761.5,62686.0,760167.6666666666
Florida,Escambia,581729.0,0.0,56139.0,120804.0,758672.0
Ohio,Stark,671703.0,46194.0,0.0,37298.0,755195.0
Tennessee,Shelby,515334.5,47370.350000000064,95169.0,95017.5,752891.3500000001
New Jersey,Hudson,227385.0,85263.0,262402.0,170849.0,745899.0
Florida,Orange,536485.0,73014.0,118409.0,14728.0,742636.0
California,Kings,618031.0,0.0,123615.0,0.0,741646.0
Louisiana,Iberville,568881.5,0.0,165233.0,0.0,734114.5
Florida,Miami-Dade,531578.5,71350.49999999999,119969.3333333334,4981.0,727879.3333333334
California,Nevada,713403.0,0.0,9425.0,0.0,722828.0
Colorado,El Paso,580332.0,62421.3,33813.33333333334,42558.0,719124.6333333334
Massachusetts,Hampden,283739.0,51526.0,322630.0,60764.0,718659.0
Colorado,Larimer,669802.7333333342,48411.5,0.0,0.0,718214.2333333342
Texas,Travis,605122.0,18179.0,83862.0,2405.0,709568.0
Washington,King,436803.5,103868.86666666661,128420.0,38074.0,707166.3666666666
Georgia,DeKalb,355525.0,46032.0,300210.0,3707.0,705474.0
Arkansas,Pulaski,465771.5,50428.5,155568.0,27654.5,699422.5
North Carolina,Forsyth,433741.3333333334,54592.250000000015,136178.0,74111.0,698622.5833333334
West Virginia,Brooke,0.0,39968.0,0.0,657403.0,697371.0
Indiana,Vanderburgh,398719.0,58707.0,118595.0,116035.0,692056.0
Kansas,Sedgwick,539461.5,35113.66666666667,110268.0,0.0,684843.1666666666
New York,Chautauqua,492200.0,0.0,0.0,190071.0,682271.0
New Hampshire,Hillsborough,439959.5,68753.0,88858.0,78091.5,675662.0
New Jersey,Mercer,575187.0,0.0,97641.0,0.0,672828.0
Pennsylvania,York,372370.0,26898.0,175688.0,95809.0,670765.0
Wisconsin,Milwaukee,434633.66666666686,24281.483333333334,162546.33333333334,42054.5,663515.9833333335
Colorado,Adams,273170.0,53199.0,241558.0,93943.0,661870.0
Indiana,St. Joseph,531988.0,0.0,128217.0,0.0,660205.0
California,Yolo,540374.0,8705.0,109630.0,0.0,658709.0
North Carolina,Wake,526240.6666666665,52007.5,58614.0,21647.0,658509.1666666665
California,Sutter,494032.0,21418.0,137316.0,0.0,652766.0
Texas,Denton,541876.0,0.0,109767.0,0.0,651643.0
Kentucky,Jefferson,261725.00000000055,64340.83333333333,147897.0,177199.33333333366,651162.1666666676
California,Santa Cruz,586553.0,18230.0,34187.0,11618.0,650588.0
New Hampshire,Rockingham,483180.5,6487.0,84304.0,74341.0,648312.5
Texas,Brazoria,512209.0,0.0,132117.0,0.0,644326.0
Pennsylvania,Lackawanna,419464.0,23886.0,159043.0,41454.0,643847.0
Illinois,Peoria,476027.0,64557.0,0.0,99463.0,640047.0
Texas,Ellis,449396.5,0.0,134618.8333333333,53711.00000000003,637726.3333333333
District Of Columbia,District of Columbia,270436.4999999997,74985.66666666653,207926.16666666663,82685.5,636033.8333333328
Pennsylvania,Centre,503818.5,0.0,80228.0,50919.0,634965.5
Illinois,Saint Clair,253505.0,41074.0,191612.0,146913.0,633104.0
Ohio,Lucas,565085.0,0.0,0.0,65866.0,630951.0
New York,Bronx,216614.3333333333,50573.5,251258.1666666667,111876.83333333336,630322.8333333334
Pennsylvania,Dauphin,421215.0,22720.0,112355.0,52679.0,608969.0
California,Butte,427134.5,41144.0,126161.0,0.0,594439.5
New York,Queens,231475.1666666667,40676.5,245270.5,76534.5,593956.6666666667
Pennsylvania,Philadelphia,249899.8833333331,47584.75000000007,219155.1666666667,72051.08333333327,588690.8833333332
Massachusetts,Worcester,330017.0,45479.0,169135.0,43194.0,587825.0
Pennsylvania,Lancaster,378518.0,18516.0,127376.0,63059.0,587469.0
Texas,El Paso,301092.1333333344,53495.79999999989,213840.0499999993,18665.99999999988,587093.9833333335
Rhode Island,Providence,214630.0,79333.0,226605.0,64015.0,584583.0
Texas,Dallas,380248.83333333343,32189.0,155369.66666666642,14850.0,582657.4999999999
Florida,Sarasota,483519.5,56413.0,28227.0,12405.5,580565.0
Louisiana,West Baton Rouge,265614.0,0.0,164805.0,150029.0,580448.0
Pennsylvania,Mercer,517590.0,0.0,0.0,62832.0,580422.0
California,San Benito,574997.0,0.0,0.0,0.0,574997.0
Maine,Cumberland,362925.0,19566.0,136002.0,52241.0,570734.0
Connecticut,Hartford,192458.0,124319.5,213861.0,36056.0,566694.5
Florida,Manatee,494323.0,0.0,35625.0,35233.0,565181.0
New Mexico,Sandoval,488753.5,12269.0,60804.0,0.0,561826.5
Missouri,St. Louis City,223103.16666666672,43110.0,196680.64999999997,98371.83333333334,561265.65
Ohio,Franklin,419591.66666666674,39250.5,47275.0,48565.5,554682.6666666667
Georgia,Fulton,256109.0,61700.0,166440.0,70362.0,554611.0
Kansas,Wyandotte,249001.0,49055.0,179714.0,71221.0,548991.0
California,Sonoma,387478.0,42926.0,117840.0,0.0,548244.0
Florida,Pasco,542607.0,0.0,0.0,0.0,542607.0
