NO2 AQI,O3 AQI,SO2 AQI,CO AQI,AQI,FIPS,COUNTY,State_y
67.0,114.0,20.0,27.0,114.0,04013,Maricopa,AZ
61.0,77.0,20.0,13.0,77.0,04019,Pima,AZ
79.0,87.0,37.0,19.0,87.0,51155,Pulaski,VA
50.0,42.0,13.0,18.0,50.0,06001,Alameda,CA
46.0,129.0,29.0,11.0,129.0,06013,Contra Costa,CA
76.0,179.0,21.0,23.0,179.0,06019,Fresno,CA
22.0,41.0,4.0,10.0,41.0,32013,Humboldt,NV
79.0,116.0,13.0,51.0,116.0,06025,Imperial,CA
104.0,122.0,56.0,30.0,122.0,06037,Los Angeles,CA
68.0,101.0,13.0,24.0,101.0,51137,Orange,VA
48.0,109.0,14.0,17.0,109.0,51137,Orange,VA
62.0,156.0,21.0,22.0,156.0,06065,Riverside,CA
95.0,142.0,4.0,18.0,142.0,06067,Sacramento,CA
107.0,142.0,71.0,26.0,142.0,06071,San Bernardino,CA
82.0,71.0,20.0,25.0,82.0,06073,San Diego,CA
33.0,116.0,9.0,7.0,116.0,06083,Santa Barbara,CA
62.0,140.0,11.0,25.0,140.0,06085,Santa Clara,CA
52.0,111.0,16.0,22.0,111.0,06095,Solano,CA
61.0,77.0,54.0,20.0,77.0,55001,Adams,WI
53.0,119.0,7.0,6.0,119.0,45039,Fairfield,SC
38.0,135.0,14.0,8.0,135.0,09003,Hartford,CT
24.0,119.0,23.0,6.0,119.0,09005,Litchfield,CT
70.0,101.0,101.0,18.0,101.0,09009,New Haven,CT
52.0,80.0,10.0,9.0,80.0,16001,Ada,ID
78.0,116.0,47.0,11.0,116.0,27031,Cook,MN
51.0,100.0,71.0,15.0,100.0,54049,Marion,WV
50.0,61.0,3.0,13.0,61.0,55095,Polk,WI
34.0,80.0,30.0,7.0,80.0,51169,Scott,VA
76.0,58.0,103.0,18.0,103.0,20209,Wyandotte,KS
67.0,104.0,102.0,26.0,104.0,22033,East Baton Rouge,LA
25.0,47.0,14.0,5.0,47.0,23003,Aroostook,ME
50.0,84.0,39.0,16.0,84.0,51049,Cumberland,VA
63.0,200.0,47.0,25.0,200.0,24005,Baltimore,MD
60.0,84.0,34.0,24.0,84.0,36103,Suffolk,NY
45.0,140.0,26.0,6.0,140.0,36103,Suffolk,NY
46.0,35.0,6.0,15.0,46.0,32031,Washoe,NV
61.0,104.0,87.0,16.0,104.0,33011,Hillsborough,NH
80.0,114.0,86.0,18.0,114.0,36005,Bronx,NY
102.0,145.0,50.0,31.0,145.0,36081,Queens,NY
18.0,84.0,31.0,2.0,84.0,36101,Steuben,NY
53.0,140.0,46.0,23.0,140.0,51117,Mecklenburg,VA
55.0,74.0,10.0,7.0,74.0,48067,Cass,TX
58.0,137.0,54.0,10.0,137.0,48325,Medina,TX
19.0,90.0,9.0,3.0,90.0,40001,Adair,OK
47.0,93.0,40.0,16.0,93.0,40143,Tulsa,OK
38.0,64.0,11.0,27.0,64.0,41051,Multnomah,OR
